AERONET Version 3
Amazon_ATTO_Tower
Version 3: Almucantar Level 1.5 Inversion
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
All Points,Contact: PI=Paulo_Artaxo; PI Email=artaxo@if.usp.br 
UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html
Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Absorption_Angstrom_Exponent_440-870nm,Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
Amazon_ATTO_Tower,27:06:2016,12:54:55,179,179.538137,0.002229,0.000864,0.002455,0.003834,0.106082,50.880065,51.511520,0.821393,0.030325,0.083422,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.026030,0.032270,0.285690,0.288900,1,1,07:01:2018,06:20:35,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,27:06:2016,13:16:29,179,179.553113,0.003476,0.001371,0.001996,0.003445,0.955170,46.421005,47.031972,0.702630,0.044264,0.081297,4,10,8,3,4,10,8,3,4,10,8,3,4,10,8,3,0.024760,0.030830,0.278220,0.281390,0,1,07:01:2018,06:20:11,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,27:06:2016,20:53:50,179,179.870718,0.002069,0.001310,0.001005,0.000844,1.057933,76.512139,75.833885,18.589467,0.065959,0.105016,4,10,7,3,4,10,5,1,4,10,5,3,4,10,5,2,0.042890,0.050780,0.379940,0.377020,0,1,07:01:2018,06:19:30,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,28:06:2016,11:08:09,180,180.463993,0.003205,0.002500,0.003453,0.003656,-0.036360,74.389183,75.066917,3.112973,0.056012,0.103175,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.039730,0.047880,0.368090,0.372090,1,1,07:01:2018,06:28:06,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,29:06:2016,11:08:18,181,181.464097,0.003550,0.002577,0.003704,0.003891,0.023025,74.391780,75.069836,3.607275,0.048653,0.081156,4,10,7,6,4,10,4,6,4,10,3,6,4,10,4,6,0.039740,0.047880,0.368130,0.372110,0,1,07:01:2018,06:10:27,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,29:06:2016,12:27:17,181,181.518947,0.000761,0.000507,0.000386,0.000325,0.990145,56.833048,57.484483,5.975132,0.568266,0.100042,4,10,7,4,4,10,6,4,4,10,6,4,4,10,7,4,0.028190,0.034710,0.298440,0.301700,0,1,07:01:2018,06:10:05,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,30:06:2016,11:08:27,182,182.464201,0.002940,0.002418,0.004544,0.004668,-0.522374,74.392452,75.070865,2.565553,0.028742,0.078720,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.039740,0.047880,0.368130,0.372110,1,1,07:01:2018,06:19:12,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,30:06:2016,11:40:21,182,182.486354,0.002504,0.002175,0.005234,0.006200,-0.931333,67.214532,67.886014,1.914494,0.055624,0.087328,4,10,7,6,4,9,7,6,4,10,7,6,4,10,7,6,0.033740,0.041030,0.331730,0.335260,1,1,07:01:2018,06:19:18,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,30:06:2016,12:27:23,182,182.519016,0.007366,0.004207,0.004637,0.004942,0.744053,56.833664,57.485610,0.966558,0.058161,0.083861,4,10,7,4,4,10,7,4,4,10,7,4,4,10,7,4,0.028190,0.034710,0.298440,0.301700,1,1,07:01:2018,06:19:57,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,30:06:2016,12:55:12,182,182.538333,0.003501,0.001523,0.002496,0.003229,0.647684,50.880173,51.513282,0.693188,0.058724,0.073883,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.026040,0.032270,0.285690,0.288900,1,1,07:01:2018,06:19:23,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,30:06:2016,13:16:39,182,182.553229,0.003841,0.001552,0.002213,0.002760,0.945052,46.431998,47.044996,0.650052,0.078711,0.072719,4,10,8,3,4,10,8,3,4,10,8,3,4,10,8,3,0.024760,0.030830,0.278240,0.281410,0,1,07:01:2018,06:19:12,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,30:06:2016,20:42:08,182,182.862593,0.011912,0.007756,0.007316,0.006667,0.744044,73.705268,73.027644,4.596367,0.052636,0.099949,4,10,7,6,4,7,7,6,4,10,7,6,4,10,7,6,0.039780,0.047330,0.362080,0.360050,1,1,07:01:2018,06:19:32,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,01:07:2016,11:08:35,183,183.464294,0.004311,0.004827,0.007118,0.007179,-0.684673,74.394895,75.073705,2.430507,0.032441,0.103688,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,5,0.039740,0.047880,0.368150,0.372130,1,1,07:01:2018,06:27:36,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,01:07:2016,12:27:32,183,183.519120,0.000830,0.000879,0.001248,0.001393,-0.547971,56.820378,57.472853,1.993448,0.166048,0.095725,4,10,7,4,4,10,7,4,4,10,7,4,4,10,7,4,0.028190,0.034710,0.298400,0.301670,1,1,07:01:2018,06:27:08,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,01:07:2016,13:16:52,183,183.553380,0.001099,0.000719,0.000558,0.000471,0.993647,46.395142,47.008756,5.111724,0.868694,0.142876,4,10,8,3,4,10,8,1,4,7,6,1,4,6,5,3,0.024750,0.030820,0.278180,0.281350,0,1,07:01:2018,06:26:49,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,03:07:2016,12:27:44,185,185.519259,0.000839,0.000926,0.001168,0.001057,-0.457023,56.806175,57.459897,1.671779,0.141065,0.099642,4,10,7,4,4,10,7,4,4,10,7,4,4,10,7,4,0.026240,0.033100,0.302630,0.306180,1,1,07:01:2018,06:16:49,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,04:07:2016,11:40:46,186,186.486644,0.004112,0.003873,0.005599,0.006038,-0.389575,67.217672,67.891175,2.357763,0.087246,0.141507,4,10,7,6,4,10,7,5,4,10,7,5,4,10,7,5,0.030750,0.038280,0.335340,0.339620,1,1,07:01:2018,06:23:22,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,04:07:2016,12:27:43,186,186.519248,0.007454,0.005082,0.005260,0.004779,0.550812,56.819732,57.474206,1.725507,0.092974,0.135104,4,10,7,4,4,10,7,4,4,10,7,4,4,10,7,4,0.026250,0.033110,0.302660,0.306210,1,1,07:01:2018,06:23:11,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,04:07:2016,12:55:25,186,186.538484,0.004774,0.003872,0.004116,0.003720,0.245685,50.865424,51.501574,1.372318,0.147091,0.138287,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.024510,0.031120,0.290170,0.293480,1,1,07:01:2018,06:23:43,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,04:07:2016,13:16:55,186,186.553414,0.001174,0.000763,0.000588,0.000500,1.013029,46.383497,46.999929,2.564739,0.272931,0.166337,4,10,8,3,4,10,8,3,4,10,8,3,4,9,5,3,0.023480,0.029940,0.282800,0.285990,0,1,07:01:2018,06:22:59,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,06:07:2016,19:12:11,188,188.800127,0.000841,0.000561,0.000430,0.000366,0.979714,53.381451,52.736853,4.498763,0.266223,0.106265,4,9,7,3,4,10,8,3,4,10,8,3,3,10,7,3,0.025380,0.031950,0.294400,0.295830,1,1,07:01:2018,06:14:04,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,07:07:2016,11:09:15,189,189.464757,0.001754,0.002111,0.004878,0.005223,-1.385345,74.394282,75.076221,3.878836,0.044715,0.106310,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.035630,0.043900,0.371080,0.376240,1,1,07:01:2018,06:21:58,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,07:07:2016,11:40:55,189,189.486748,0.001069,0.000950,0.002202,0.002310,-0.917384,67.229308,67.904754,3.142074,0.104879,0.107199,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.030760,0.038290,0.335420,0.339680,1,1,07:01:2018,06:22:44,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,07:07:2016,18:12:27,189,189.758646,0.000649,0.000515,0.001175,0.001783,-0.722041,40.975212,40.393739,1.207309,0.148117,0.079581,4,11,8,2,4,11,8,2,4,11,8,2,4,11,9,1,0.022580,0.028840,0.275400,0.277450,0,1,07:01:2018,06:23:40,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,07:07:2016,21:01:29,189,189.876030,0.000722,0.000473,0.000369,0.000315,0.983963,77.723275,77.040202,19.720401,0.098760,0.099083,4,10,7,5,4,10,5,2,4,10,5,3,4,10,6,3,0.039440,0.047670,0.391160,0.389270,0,1,07:01:2018,06:21:45,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
Amazon_ATTO_Tower,09:07:2016,11:09:23,191,191.464850,0.002842,0.002243,0.002935,0.002873,0.015605,74.395577,75.078834,4.026665,0.061491,0.087801,4,10,7,6,4,10,6,6,4,10,5,5,4,10,6,5,0.035630,0.043900,0.371100,0.376260,1,1,07:01:2018,06:15:21,931,-2.144117,-58.999867,210.000000,lev15,Almucantar
